Date,day,camping0T1,camping0T2,camping0T3,camping0T2P,camping1T1,camping1T2,camping1T3,camping1T2P,camping2T1,camping2T2,camping2T3,camping2T2P,camping3T1,camping3T2,camping3T3,camping3T2P,camping4T1,camping4T2,camping4T3,camping4T2P,camping5T1,camping5T2,camping5T3,camping5T2P,camping6T1,camping6T2,camping6T3,camping6T2P,camping7T1,camping7T2,camping7T3,camping7T2P,camping8T1,camping8T2,camping8T3,camping8T2P,entrance0T1,entrance0T2,entrance0T3,entrance0T4,entrance0T5,entrance0T6,entrance1T1,entrance1T2,entrance1T3,entrance1T4,entrance1T5,entrance1T6,entrance2T1,entrance2T2,entrance2T3,entrance2T4,entrance2T5,entrance2T6,entrance3T1,entrance3T2,entrance3T3,entrance3T4,entrance3T5,entrance3T6,entrance4T1,entrance4T2,entrance4T3,entrance4T4,entrance4T5,entrance4T6,gate0T2P,gate1T2P,gate2T2P,gate3T4,gate3T2P,gate4T2P,gate5T4,gate5T2P,gate6T4,gate6T2P,gate7T2P,gate8T2P,general-gate0T1,general-gate0T2,general-gate0T3,general-gate0T2P,general-gate1T1,general-gate1T2,general-gate1T3,general-gate1T4,general-gate1T5,general-gate1T6,general-gate1T2P,general-gate2T1,general-gate2T2,general-gate2T3,general-gate2T4,general-gate2T5,general-gate2T6,general-gate2T2P,general-gate3T1,general-gate3T2,general-gate3T3,general-gate3T2P,general-gate4T1,general-gate4T2,general-gate4T3,general-gate4T4,general-gate4T5,general-gate4T6,general-gate4T2P,general-gate5T1,general-gate5T2,general-gate5T3,general-gate5T4,general-gate5T5,general-gate5T6,general-gate5T2P,general-gate6T1,general-gate6T2,general-gate6T3,general-gate6T2P,general-gate7T1,general-gate7T2,general-gate7T3,general-gate7T4,general-gate7T5,general-gate7T6,general-gate7T2P,ranger-baseT2P,ranger-stop0T1,ranger-stop0T2,ranger-stop0T3,ranger-stop0T4,ranger-stop0T5,ranger-stop0T6,ranger-stop0T2P,ranger-stop1T1,ranger-stop1T2P,ranger-stop2T1,ranger-stop2T2,ranger-stop2T3,ranger-stop2T4,ranger-stop2T5,ranger-stop2T6,ranger-stop2T2P,ranger-stop3T4,ranger-stop3T2P,ranger-stop4T2P,ranger-stop5T2P,ranger-stop6T4,ranger-stop6T2P,ranger-stop7T2P
8/1/2015,93,2,11,2,,,,,,15,7,4,,10,4,1,,16,14,1,,16,9,6,,14,4,7,,7,2,2,,17,6,6,2,24,6,7,3,2,,23,14,2,1,2,2,16,16,8,2,1,1,29,19,10,4,4,1,23,18,12,2,2,,,,,,4,4,,4,,,,4,,,,,53,32,19,4,3,1,,53,32,18,4,3,1,,3,2,3,2,44,26,11,1,1,1,,31,18,15,2,2,,2,7,2,2,,63,40,16,1,2,2,,4,53,32,19,4,3,1,,,,53,32,19,4,3,1,,,4,,4,,4,
8/2/2015,94,4,5,5,,,,,,10,4,4,,19,4,7,,20,9,3,,15,8,4,,8,1,4,,20,6,6,,21,11,,1,21,6,10,5,2,,29,8,6,4,2,,29,11,10,5,1,2,44,19,12,4,1,1,19,14,9,2,,1,,,,,2,2,,2,,,,2,,,,,54,23,17,5,2,1,,55,23,18,5,1,1,,5,2,,1,40,18,13,4,2,,,25,12,10,1,,,1,20,6,6,,70,29,19,4,2,,,2,54,23,17,5,1,1,,,,54,23,17,5,2,1,,,2,,2,,2,
8/3/2015,95,9,3,3,,2,,,,12,5,1,,13,,5,,14,6,5,,11,6,5,,6,2,3,,15,4,1,,5,10,6,,15,8,11,2,3,,20,10,9,2,2,1,24,10,10,4,1,,27,12,7,,4,,20,12,6,4,5,1,,,,,2,,,2,,2,2,2,2,,,,47,26,14,4,5,1,,46,26,14,4,6,1,,1,2,2,,41,20,15,2,1,1,,25,16,7,2,5,1,2,15,4,1,,60,26,19,2,2,1,,2,47,26,14,4,6,1,,,,47,26,14,4,5,1,,,2,,,,2,2
8/4/2015,96,8,1,,4,,,2,,11,3,1,,16,4,2,,3,5,6,,16,5,4,,11,5,5,,5,3,6,,10,4,7,,20,12,5,5,1,,12,9,7,2,3,,13,13,7,1,4,,25,11,11,3,2,,26,11,7,1,2,,2,2,,2,2,,2,1,2,1,,6,,,2,,43,24,20,2,2,,3,43,24,20,2,2,,5,2,1,,,40,19,11,2,2,,2,31,10,10,3,,,5,5,3,6,,56,23,14,2,3,,2,6,43,24,20,2,2,,7,,,43,24,20,2,2,,4,2,2,2,,2,1,
8/5/2015,97,3,,,,,,,,5,1,3,,2,,2,,4,4,3,,10,9,5,,11,7,2,,6,3,2,,11,5,4,,14,6,7,1,1,1,14,7,8,3,1,,19,7,6,3,,,26,12,9,4,,,13,15,7,5,,1,,,,,,,,,,,,2,,,,,36,19,21,4,,1,2,36,19,21,4,,1,2,1,1,,,22,15,13,1,1,,2,20,15,11,3,,1,2,6,3,2,,34,21,17,3,1,,2,2,36,19,21,4,,1,3,,,36,19,21,4,,1,3,,,2,,,,
8/6/2015,98,5,1,1,,2,,4,,8,2,2,,12,6,1,,4,6,,,11,1,1,,9,3,6,,8,1,8,2,13,4,5,1,14,9,9,3,,,16,8,4,2,1,2,18,8,7,3,,1,22,8,8,2,,3,21,9,8,2,1,,,,,,4,4,,6,,4,2,8,2,,2,,42,15,18,3,1,1,2,41,15,18,3,1,1,4,3,,1,1,30,13,7,1,1,,2,24,6,10,1,1,,7,8,1,8,2,45,18,9,2,1,2,4,8,42,15,18,3,1,1,5,,,42,15,18,3,1,1,3,,4,4,4,,6,2
8/7/2015,99,4,5,3,,2,,,,7,6,,,16,6,4,,16,7,3,,10,9,2,,7,6,7,,13,6,9,,23,8,3,,26,19,7,1,3,1,13,14,9,3,2,,14,14,8,2,4,2,34,26,13,3,2,2,22,18,6,3,2,1,1,1,2,,2,,,1,,1,,2,1,,,,54,36,21,5,4,1,1,55,36,21,5,4,1,1,1,,1,,32,27,13,2,2,,,29,20,17,3,1,,1,13,6,9,,53,40,17,3,3,,1,2,54,36,21,5,4,1,3,,2,54,36,21,5,4,1,3,,2,,,,1,
8/8/2015,100,6,3,2,,,,6,,18,3,,,16,5,1,,12,4,3,,15,10,4,,7,5,1,,14,5,1,,20,1,2,2,31,6,5,1,2,,15,10,3,,5,1,29,8,7,1,2,1,30,16,6,1,1,2,26,8,6,1,3,,,,2,,4,4,,4,,2,2,4,,,3,,57,19,13,,3,1,2,57,19,13,,3,1,2,5,,1,2,48,15,10,,3,,2,32,13,7,,2,,4,14,5,1,,67,27,12,,4,1,3,4,57,19,13,,3,1,3,,2,57,19,13,,3,1,3,,4,2,4,,5,2
8/9/2015,101,3,7,4,,1,,2,,14,3,3,,16,2,1,,16,6,3,2,19,6,8,,12,,12,4,7,7,3,,15,4,4,,21,13,7,4,2,1,22,6,7,4,1,,28,10,10,4,3,1,30,10,11,3,1,,23,5,8,3,3,,,,,,4,,,6,,6,2,6,1,,1,,63,16,23,5,4,1,,63,16,23,5,4,1,,,1,,,60,16,15,3,1,,,32,7,14,2,2,,4,7,7,3,,79,27,21,4,1,,4,6,63,16,23,5,4,1,,,,63,16,23,5,4,1,,,4,2,,,6,2
8/10/2015,102,1,2,,,2,,2,,13,5,2,,11,9,5,,16,6,4,2,12,4,6,,4,4,6,,8,1,5,,17,5,5,1,20,13,8,,,,19,7,5,1,1,,19,11,9,1,,,28,8,14,2,,,20,14,4,4,1,,,,2,,2,4,,6,,6,2,8,1,,1,,42,25,22,3,1,,2,42,25,22,3,1,,2,3,,1,1,41,24,14,1,1,,2,23,16,13,3,1,,3,8,1,5,,56,27,21,1,1,,7,8,42,25,22,3,1,,3,,2,42,25,22,3,1,,3,,2,4,4,,8,2
8/11/2015,103,4,1,1,,2,,,,3,2,2,2,12,4,4,,10,8,3,,11,4,4,,10,5,7,,9,4,5,,17,5,2,2,16,15,5,3,2,1,15,8,7,2,2,2,24,12,10,1,2,2,28,12,14,4,1,1,19,15,3,2,1,4,,,4,,6,6,,6,,6,4,8,1,,,,45,22,16,3,3,2,4,45,22,16,3,3,2,8,1,2,,2,32,17,12,1,2,2,4,26,14,8,2,1,2,8,9,4,5,,49,23,21,2,2,2,8,8,45,22,16,3,3,2,10,,4,45,22,16,3,3,2,8,,6,4,6,,8,4
8/12/2015,104,3,3,3,,,,,,9,3,3,,11,4,4,,14,4,3,,8,4,1,,14,1,4,,8,2,3,,13,3,1,2,11,7,7,2,3,,16,7,2,3,2,1,21,7,4,3,1,1,30,6,8,2,1,,17,10,7,4,1,,,,2,,4,4,,4,,2,2,4,,,,,51,20,15,5,2,1,2,51,20,15,5,2,1,2,2,,,2,35,15,13,3,2,1,2,29,11,10,3,1,,4,8,2,3,,48,19,16,3,2,1,3,4,51,20,15,5,2,1,3,,2,51,20,15,5,2,1,3,,4,2,4,,5,2
8/13/2015,105,3,4,1,,,,2,,6,1,1,,8,4,,,14,3,5,,11,2,,,4,,10,,2,4,1,,8,2,4,1,10,4,7,,1,,14,4,5,1,1,,12,9,4,2,1,,23,12,6,2,,,22,7,4,,1,,,,2,,2,2,,2,,2,2,2,,,1,,28,14,13,3,2,,2,28,14,13,3,2,,2,4,1,1,1,25,10,6,1,1,,2,23,8,9,,1,,3,2,4,1,,43,18,8,1,1,,3,2,28,14,13,3,2,,3,,2,28,14,13,3,2,,3,,2,2,2,,3,2
8/14/2015,106,10,5,,,,,,,5,4,3,,6,4,2,,15,7,6,,8,5,4,,13,5,4,,9,5,2,2,19,8,2,,20,15,7,1,1,,15,17,7,1,,,16,14,6,3,,1,33,13,9,1,1,1,21,12,9,3,,,,,,,2,2,,4,,2,2,4,,,,,44,32,16,1,,1,,44,32,16,1,,1,,2,1,1,,31,28,12,1,,,,30,16,11,1,,,2,9,5,2,2,50,34,15,1,,,,4,44,32,16,1,,1,,,,44,32,16,1,,1,,,2,,2,,4,2
8/15/2015,107,3,5,2,,2,,,,17,6,6,,7,1,2,,9,5,5,,15,3,3,,12,6,4,,7,1,1,,15,2,10,1,15,10,12,2,1,,18,10,6,2,1,,23,10,10,1,2,1,35,13,15,,3,,20,11,7,5,1,1,,,,,4,2,,4,,2,2,4,2,,,,53,16,21,4,1,,,53,16,21,4,1,,,3,1,3,1,32,17,15,2,,,,29,9,11,4,,,3,7,1,1,,53,22,22,2,1,,,4,53,16,21,4,1,,,,,53,16,21,4,1,,,,4,,2,,4,2
8/16/2015,108,10,1,2,,4,2,,,13,5,8,2,7,5,4,,10,1,1,,15,7,4,,14,3,4,,7,6,5,,9,5,5,,18,11,10,1,,,17,5,5,,1,,21,14,7,,4,,29,10,15,1,3,,20,14,7,,2,,,,,,4,2,,4,,4,2,8,4,,,,49,22,20,,4,,4,49,22,20,,4,,4,1,1,,,39,17,13,,1,,4,24,12,10,,1,,8,7,6,5,,58,23,19,,1,,6,8,49,22,20,,4,,6,,,49,22,20,,4,,6,,4,4,2,,4,2
8/17/2015,109,4,2,2,,2,2,,,4,4,4,,11,4,2,2,7,9,5,,6,1,2,,3,1,1,,9,,2,,6,1,7,2,12,6,10,3,,,14,2,10,2,2,,19,9,8,3,4,,27,17,6,3,2,,14,6,8,3,2,,1,1,2,,6,4,,5,,3,2,6,1,2,,,39,17,12,4,4,,3,39,17,12,4,4,,5,,1,4,2,27,9,13,2,2,,2,18,7,7,2,1,,5,9,,2,,42,20,17,2,2,,4,6,39,17,12,4,4,,6,,2,39,17,12,4,4,,4,,6,2,4,,6,2
8/18/2015,110,2,3,4,,4,,,,6,8,5,,13,2,,,17,3,2,,16,6,4,,12,4,3,,8,1,1,,5,7,1,1,26,12,9,3,2,1,19,12,6,1,,,19,11,6,3,2,,29,12,10,2,,1,14,19,4,4,,,,,,,2,2,,2,,,,2,4,,,,48,22,12,6,2,,,48,22,12,7,2,,,1,2,,1,34,20,9,1,,,,26,15,6,4,,,1,8,1,1,,53,29,17,1,,,,2,48,22,12,7,2,,,,,48,22,12,7,2,,,,2,,2,,2,
8/19/2015,111,4,2,1,,,,,,8,2,2,,11,3,,,17,3,3,,15,4,4,,9,2,2,,13,4,4,,9,1,7,1,19,6,1,4,3,1,22,9,5,3,1,1,21,6,6,4,1,,34,9,8,4,1,,20,7,5,4,,,,,,,2,2,,4,,2,,4,,,,,44,16,14,9,1,,,44,16,14,8,1,,,3,,1,1,39,14,10,2,1,1,,28,10,9,4,,,1,13,4,4,,61,18,15,3,1,1,2,4,44,16,14,8,1,,,,,44,16,14,8,1,,,,2,2,2,,4,
8/20/2015,112,3,7,1,,2,,,,2,1,3,,6,4,6,,9,4,1,,18,7,7,,6,,5,,6,4,,,7,4,3,1,12,13,7,3,,2,11,5,6,1,,1,15,8,9,2,,1,21,8,13,3,,2,14,7,6,1,,2,,,,2,4,2,2,4,2,2,2,4,2,,,,38,15,16,3,,1,,38,15,16,3,,1,,2,1,,1,31,15,11,1,,1,,21,8,6,3,,1,3,6,4,,,46,23,19,1,,1,,4,38,15,16,3,,1,,,,38,15,16,3,,1,,2,4,,2,2,4,2
8/21/2015,113,2,1,,,,,,,5,4,4,,11,3,4,,10,6,5,2,14,6,3,,17,3,3,,2,9,2,,23,3,4,,21,7,6,3,1,,15,13,5,4,,1,17,9,11,5,1,4,24,19,8,2,2,3,22,11,5,4,2,2,1,1,4,,,,,4,,4,,8,,,,,42,25,17,3,3,4,4,42,25,17,3,3,4,4,4,1,1,,30,14,14,3,,1,2,28,19,8,1,2,1,4,2,9,2,,46,25,18,4,,1,6,8,42,25,17,3,3,4,6,,6,42,25,17,3,3,4,6,,,4,,,5,
8/22/2015,114,9,2,1,,,,5,,6,4,3,,8,6,2,,14,8,3,,10,8,6,,11,4,,,7,4,1,,10,6,6,1,18,7,6,2,,1,15,8,1,5,1,,16,16,9,3,,1,25,16,13,3,,,21,13,6,3,1,,,,2,,6,2,,6,,6,6,6,,,3,,40,25,17,4,1,1,2,40,25,17,4,1,1,2,2,3,1,1,34,14,8,3,1,,2,28,13,6,2,1,,7,7,4,1,,54,23,16,5,1,,3,6,40,25,17,4,1,1,3,,2,40,25,17,4,1,1,3,,6,2,2,,7,6
8/23/2015,115,7,6,2,,2,,,,9,6,5,,16,10,2,2,12,8,4,,9,6,5,,8,5,2,,9,2,4,,4,6,4,,14,10,5,3,3,,21,11,8,2,4,,20,15,10,3,2,,35,16,6,1,2,,21,10,13,3,1,,,,,,,,,2,,2,,2,2,,,,46,24,21,4,3,,,46,24,21,4,3,,,,1,1,,31,29,17,2,4,,,24,11,12,2,1,,,9,2,4,,49,41,20,2,4,,2,2,46,24,21,4,3,,,,,46,24,21,4,3,,,,,,,,2,
8/24/2015,116,8,5,1,2,,,1,,9,8,1,,16,9,2,,6,3,4,,12,14,1,,11,3,2,,9,3,9,,15,3,6,1,22,12,9,2,2,,19,4,10,3,3,,10,12,3,4,,,27,14,7,4,3,,18,13,8,3,2,,2,2,,,2,2,,4,,2,,4,,,1,,43,24,19,3,2,,,43,24,19,3,2,,,2,1,,1,36,25,15,1,2,,,27,15,13,1,2,,1,9,3,9,,53,39,17,3,3,,,4,43,24,19,3,2,,,,,43,24,19,3,2,,,,2,,2,,4,
8/25/2015,117,1,6,1,,2,,,,8,3,3,,14,7,,2,15,8,5,,13,8,1,4,10,4,,,8,2,1,,7,6,5,1,18,6,7,1,2,,13,13,5,2,2,,19,14,2,4,1,,26,12,3,1,1,,16,15,9,2,,,,,4,,2,2,,4,,4,2,6,1,,,,44,27,9,2,1,,2,44,27,9,2,1,,4,1,2,,1,37,24,9,2,1,,2,26,15,8,,,,5,8,2,1,,55,34,11,2,2,,7,6,44,27,9,2,1,,5,,4,44,27,9,2,1,,7,,2,2,2,,5,2
8/26/2015,118,4,3,5,,2,,,,10,6,4,,15,4,4,,5,6,4,2,12,8,3,,10,2,1,,7,4,5,,15,6,5,4,14,8,11,4,1,,14,7,8,2,1,,20,9,6,1,3,,29,12,17,2,3,,25,16,7,3,2,,,,2,,8,4,,10,,8,4,8,,,,,45,21,16,4,5,,,45,21,16,4,5,,,4,1,2,2,35,21,14,1,1,,,28,16,11,3,2,,6,7,4,5,,52,28,24,2,1,,4,8,45,21,16,4,5,,,,4,45,21,16,4,5,,,,8,,4,,10,4
8/27/2015,119,4,4,1,,,,1,,3,8,3,,12,8,1,,14,7,3,,11,10,1,,10,4,3,,9,4,,,10,8,4,1,13,13,7,1,,1,14,16,3,2,1,,26,12,6,2,,1,20,16,3,1,,,18,11,4,,1,,,,,,2,2,,2,,,,4,,,,,37,31,10,2,1,1,2,37,31,10,2,1,1,2,2,1,,1,31,29,10,1,1,,2,18,14,5,,1,,3,9,4,,,47,39,11,2,1,,2,4,37,31,10,2,1,1,3,,,37,31,10,2,1,1,3,,2,2,2,,2,
8/28/2015,120,7,3,2,,,,1,,9,2,1,2,4,5,5,,7,8,3,,12,14,9,2,12,2,1,,7,4,5,,6,8,2,,17,8,11,3,2,,21,14,5,2,2,,13,13,9,3,,,26,11,12,2,1,,19,12,6,2,1,,,,,,,2,,3,,5,,4,,,1,,43,25,18,3,2,,1,43,25,18,3,2,,1,1,2,,,33,26,20,2,1,,1,29,15,9,1,1,,1,7,4,5,,50,37,25,2,1,,7,4,43,25,18,3,2,,1,,,43,25,18,3,2,,2,,,4,2,,6,
8/29/2015,121,4,1,,,2,2,,,7,8,1,,11,6,3,2,7,9,2,,11,8,2,2,9,5,4,,6,8,6,,15,9,2,2,8,12,6,1,,1,19,10,4,2,,1,25,19,2,1,1,1,23,13,10,3,,1,11,14,7,3,1,,1,1,2,,,,,3,,3,,2,,1,,,36,25,17,4,1,1,1,36,25,17,4,1,1,1,2,3,,,28,23,9,2,1,1,,14,11,13,3,1,,1,6,8,6,,46,34,11,2,1,1,3,2,36,25,17,4,1,1,1,,2,36,25,17,4,1,1,1,,,,,,3,
8/30/2015,122,10,2,,,,,1,,12,3,1,,8,8,5,,10,8,8,,15,7,8,,20,5,7,2,9,5,,,7,8,5,1,25,14,9,,1,,18,12,8,2,3,,26,8,8,2,2,,24,15,8,1,2,,14,10,7,1,2,,,,,,4,2,,4,,2,2,8,,,,,52,28,20,3,2,,2,52,28,20,3,2,,4,2,,1,1,40,20,19,2,1,,2,29,18,10,1,1,,7,9,5,,,53,30,24,2,3,,2,8,52,28,20,3,2,,5,,,52,28,20,3,2,,3,,4,2,2,,4,2
8/31/2015,123,7,4,1,,2,,1,,13,2,,,12,3,1,,4,4,4,,11,6,2,,10,1,1,2,8,5,,,10,5,2,1,20,10,1,3,2,,21,11,4,7,2,,21,11,7,5,1,2,30,11,6,5,,1,15,8,6,,2,1,,,2,,6,2,,4,,4,4,6,1,,,,38,22,13,5,3,1,2,38,22,13,5,3,1,2,3,,,1,29,17,10,5,2,,2,22,11,6,,2,,7,8,5,,,48,27,12,7,2,,3,6,38,22,13,5,3,1,3,,2,38,22,13,5,3,1,3,,6,2,2,,5,4
9/1/2015,124,11,1,1,,,,,,9,4,1,,1,3,3,,15,4,2,,6,7,6,,6,1,10,,10,2,4,,15,5,5,1,13,12,,1,2,1,13,6,4,,2,,18,4,9,1,1,,33,11,14,5,3,,14,10,7,1,1,1,,,,2,4,2,2,4,2,2,2,4,,,,,47,18,15,2,2,1,,47,18,15,2,2,1,,1,,2,1,33,15,7,,2,,,24,10,13,3,1,1,3,10,2,4,,51,21,15,,2,,,4,47,18,15,2,2,1,,,,47,18,15,2,2,1,,2,4,,2,2,4,2
9/2/2015,125,1,1,2,,,,,,6,3,2,,13,3,1,,7,5,3,,6,2,1,,1,,5,,5,4,,,12,3,1,1,13,10,4,1,,,15,12,6,3,2,1,11,5,9,1,,,17,6,3,3,2,1,12,4,1,2,2,,,,4,,4,2,,6,,6,4,6,,,,,32,10,10,3,2,,2,32,10,10,3,2,,2,1,,,1,24,14,10,2,1,,2,16,4,2,2,2,,5,5,4,,,33,16,11,3,2,1,5,6,32,10,10,3,2,,3,,4,32,10,10,3,2,,3,,4,2,2,,7,4
9/3/2015,126,5,1,4,,,,,,6,2,1,,8,2,4,,8,4,4,,8,1,3,,13,4,3,,2,3,3,,6,4,6,1,16,8,4,1,1,4,13,5,5,2,,1,16,6,3,1,1,1,20,9,9,3,,2,12,7,7,3,,,,,,,4,2,,4,,2,2,4,,,,,30,14,14,4,1,1,,30,14,14,4,1,1,,,,1,1,27,7,14,1,,1,,16,8,10,3,,,3,2,3,3,,38,11,19,2,,1,,4,30,14,14,4,1,1,,,,30,14,14,4,1,1,,,4,,2,,4,2
9/4/2015,127,4,1,1,,,,,,7,3,4,,15,4,2,,9,5,2,,10,1,5,,12,5,,,8,10,3,,6,2,4,1,19,11,3,1,1,2,17,5,3,6,1,1,17,17,7,1,,2,23,10,12,5,,,16,12,8,1,2,1,1,1,4,,2,2,,4,,4,2,4,,,,,39,26,14,2,2,3,4,39,26,14,2,2,3,2,1,1,3,1,25,15,11,2,1,1,3,24,15,10,1,2,1,3,8,10,3,,41,19,17,6,1,1,6,4,39,26,14,2,2,3,5,,4,39,26,14,2,2,3,6,,2,4,2,,5,2
9/5/2015,128,7,4,1,,2,2,2,,10,7,1,,8,5,,,6,5,8,2,8,6,1,,6,,1,,6,2,6,,13,8,2,1,22,7,5,3,,1,10,8,8,3,1,1,14,14,3,3,,2,18,9,4,3,,,22,13,6,2,1,,2,2,2,,4,2,,4,,2,,6,1,1,1,,35,21,10,5,1,2,4,35,21,10,5,1,2,2,2,1,,1,32,23,11,2,1,1,2,22,13,7,2,1,,5,6,2,6,,43,31,14,3,1,1,4,6,35,21,10,5,1,2,3,,2,35,21,10,5,1,2,5,,4,2,2,,4,
9/6/2015,129,6,3,,,,,,,2,7,2,,7,1,,,7,2,2,,8,4,1,,8,4,2,,7,,5,,13,2,3,2,13,6,2,1,1,1,8,6,5,2,,1,19,7,6,4,2,,16,14,5,4,1,1,13,7,5,3,2,1,,,2,,6,4,,4,,2,2,6,,,,,34,14,13,5,2,1,2,34,14,13,5,2,1,4,2,1,1,2,25,9,8,1,,1,2,19,10,8,2,1,1,6,7,,5,,34,16,10,2,,1,3,6,34,14,13,5,2,1,5,,2,34,14,13,5,2,1,5,,6,2,4,,5,2
9/7/2015,130,1,4,,,,,,,5,3,4,,2,4,1,,1,1,4,2,6,3,5,,8,2,3,2,9,3,,2,3,4,2,2,10,4,1,1,1,1,7,8,6,3,3,1,12,8,7,1,3,,11,12,6,1,2,1,11,7,5,2,3,1,,,2,,6,4,,10,,6,2,8,,,,,21,20,11,3,2,1,2,21,20,11,3,2,1,2,1,1,,2,14,15,9,3,1,,2,17,10,4,2,1,1,6,9,3,,2,20,20,13,3,3,1,7,8,21,20,11,3,2,1,3,,2,21,20,11,3,2,1,3,,6,4,4,,12,2
9/8/2015,131,3,6,,,2,,2,,3,4,1,,8,,,,4,3,1,,10,7,7,,6,1,1,,5,1,4,,6,3,,1,14,10,5,2,2,1,7,8,6,2,,1,9,11,3,2,1,1,18,6,2,1,2,,13,9,6,1,1,1,,,,,2,2,,2,,,,2,1,,1,,19,18,10,3,2,,,19,17,10,3,2,,,2,2,,1,20,16,8,2,,1,,14,10,8,1,1,,1,5,1,4,,31,20,11,2,,1,,2,19,18,10,3,2,,,,,19,18,10,3,2,,,,2,,2,,2,
9/9/2015,132,,1,,,,,2,,4,1,2,2,6,6,2,,2,3,2,,13,5,4,,5,4,2,,9,1,1,,3,5,3,2,11,6,7,2,3,1,12,6,7,1,3,1,11,9,7,2,3,,13,13,5,2,2,1,13,9,8,1,3,3,,,2,,4,4,,6,,4,2,5,,,1,,31,17,15,1,4,3,2,31,18,15,1,4,3,1,,,,2,24,9,11,1,3,1,2,21,10,10,,2,3,3,9,1,1,,33,16,14,1,3,1,5,5,31,17,15,1,4,3,1,,2,31,17,15,1,4,3,3,,4,2,4,,7,2
9/10/2015,133,,3,2,,,2,,,12,2,,,8,2,3,,7,3,3,,18,4,2,,4,2,7,,1,2,,2,4,4,,1,14,8,4,3,1,,9,6,2,3,,,10,6,3,,1,1,20,11,6,4,1,,13,7,4,1,1,1,,,,,2,2,,2,,,,5,,2,,,24,19,8,2,2,,,24,19,8,2,2,,1,,,,1,29,11,5,1,,,,15,9,7,1,1,,2,1,2,,2,48,15,10,3,,,,5,24,19,8,2,2,,2,,,24,19,8,2,2,,,,2,,2,,2,
9/11/2015,134,6,3,2,,,2,,,3,5,1,,4,3,,,13,6,4,,9,11,4,,5,7,6,,5,,2,,12,5,1,1,11,15,8,2,1,2,17,6,2,3,1,1,13,13,4,2,,1,16,8,12,3,2,1,11,8,4,1,2,5,,,2,,2,2,,2,,2,2,1,,1,,,31,25,11,,2,4,2,31,25,11,,2,4,2,1,1,,1,27,24,9,1,1,1,2,9,12,7,,2,4,2,5,,2,,41,30,13,3,1,1,3,1,31,25,11,,2,4,3,,2,31,25,11,,2,4,3,,2,2,2,,3,2
9/12/2015,135,6,3,,,,2,,,3,7,2,,13,6,2,,12,7,,,9,9,3,,7,3,3,,10,5,4,,10,5,2,,18,12,4,2,,,15,8,5,3,,2,17,15,2,2,,,22,9,10,3,,2,11,11,5,1,,2,,,,,2,,,2,,2,2,5,,1,,,34,21,10,3,,2,2,34,21,10,3,,2,2,1,2,,,27,23,5,1,,1,2,22,9,9,1,,2,5,10,5,4,,42,29,10,3,,2,2,5,34,21,10,3,,2,3,,,34,21,10,3,,2,3,,2,2,,,2,2
9/13/2015,136,5,3,1,2,4,2,,,5,2,1,,8,4,,,10,3,,,10,6,6,,9,1,1,,8,5,5,,7,8,1,1,15,7,3,5,1,1,15,5,9,3,2,,19,10,4,3,,,17,18,3,2,2,,18,11,4,2,1,1,2,2,,,4,4,,6,,4,2,8,4,1,,,33,17,7,5,1,1,2,33,17,7,5,1,1,2,2,3,,1,33,12,7,4,1,,2,15,10,6,2,1,1,5,8,5,5,,42,22,11,3,2,,2,8,33,17,7,5,1,1,3,,,33,17,7,5,1,1,3,,4,2,6,,6,2
9/14/2015,137,5,3,1,,,,,,7,2,1,,7,2,,,9,3,3,,10,3,8,,4,3,1,,4,1,7,2,7,4,2,,11,9,6,,,1,11,4,7,,1,,14,6,4,,,1,18,13,10,,,2,15,8,5,,1,,,,2,,2,2,,2,,2,,4,,,,,28,20,16,,1,1,,28,20,16,,1,1,2,1,,,,23,10,13,,1,,,16,11,10,,1,,4,4,1,7,2,39,14,19,,1,,2,4,28,20,16,,1,1,2,,2,28,20,16,,1,1,,,2,,2,,2,
9/15/2015,138,4,2,1,,,,2,,6,4,3,4,1,5,1,,4,7,1,,11,4,3,,7,,1,,3,1,4,,10,5,2,,10,9,5,1,2,,11,7,2,1,3,,15,7,7,3,6,1,16,15,10,4,1,,18,6,7,1,2,1,,,,2,,2,2,4,2,4,2,6,,,2,,38,19,14,2,4,,,38,19,14,2,4,,,1,,1,,27,15,6,,3,,,23,7,10,2,,,,3,1,4,,34,25,11,1,3,,4,6,38,19,14,2,4,,,,,38,19,14,2,4,,,2,,,2,2,4,2
9/16/2015,139,3,,,,,,,,9,2,2,,7,3,2,,7,6,,,6,4,1,,,3,,,2,,2,,7,2,2,1,7,9,5,2,1,1,15,11,5,2,,2,12,10,3,,,1,14,10,4,2,1,,21,5,4,2,,,,,,,2,2,,2,,,,4,,,,,31,14,9,2,,1,2,31,14,9,2,,1,2,,2,1,1,24,17,9,,,2,2,19,7,6,2,,,3,2,,2,,33,25,10,2,,2,2,4,31,14,9,2,,1,3,,,31,14,9,2,,1,3,,2,2,2,,2,
